Filename	HGID	Family	Capture	Batch	Plexing
HG002_NA24385_Son_SSXTHSV27041-SSXTHSV25041	HG002	Son	V7	2	1
HG002_NA24385_Son_SSXTHSV27044-SSXTHSV25044	HG002	Son	V7	2	1
HG002_NA24385_Son_SSXTHSV27047-SSXTHSV25047	HG002	Son	V7	1	1
HG003_NA24149_Father_SSXTHSV27043-SSXTHSV25043	HG003	Father	V7	2	1
HG003_NA24149_Father_SSXTHSV27046-SSXTHSV25046	HG003	Father	V7	2	1
HG003_NA24149_Father_SSXTHSV27049-SSXTHSV25049	HG003	Father	V7	1	1
HG004_NA24143_Mother_SSXTHSV27042-SSXTHSV25042	HG004	Mother	V7	2	1
HG004_NA24143_Mother_SSXTHSV27045-SSXTHSV25045	HG004	Mother	V7	2	1
HG004_NA24143_Mother_SSXTHSV27048-SSXTHSV25048	HG004	Mother	V7	1	1
HG002_NA24385_Son_SSXTHSV27050-SSXTHSV25050	HG002	Son	V7	1	4
HG002_NA24385_Son_SSXTHSV27054-SSXTHSV25054	HG002	Son	V7	1	4
HG002_NA24385_Son_SSXTHSV27058-SSXTHSV25058	HG002	Son	V7	2	4
HG002_NA24385_Son_NewIndex_SSXTHSV27061-SSXTHSV25061	HG002	Son	V7	2	4
HG003_NA24149_Father_SSXTHSV27052-SSXTHSV25052	HG003	Father	V7	1	4
HG003_NA24149_Father_SSXTHSV27056-SSXTHSV25056	HG003	Father	V7	1	4
HG003_NA24149_Father_SSXTHSV27060-SSXTHSV25060	HG003	Father	V7	2	4
HG003_NA24149_Father_NewIndex_SSXTHSV27053-SSXTHSV25053	HG003	Father	V7	1	4
HG004_NA24143_Mother_SSXTHSV27051-SSXTHSV25051	HG004	Mother	V7	1	4
HG004_NA24143_Mother_SSXTHSV27055-SSXTHSV25055	HG004	Mother	V7	1	4
HG004_NA24143_Mother_SSXTHSV27059-SSXTHSV25059	HG004	Mother	V7	2	4
HG004_NA24143_Mother_NewIndex_SSXTHSV27057-SSXTHSV25057	HG004	Mother	V7	1	4
HG002_NA24385_Son_SSXTHSV27062-SSXTHSV25062	HG002	Son	V7	1	8
HG002_NA24385_Son_SSXTHSV27081-SSXTHSV25081	HG002	Son	V7	2	8
HG002_NA24385_Son_NewIndex_SSXTHSV27063-SSXTHSV25063	HG002	Son	V7	1	8
HG002_NA24385_Son_NewIndex_SSXTHSV27071-SSXTHSV25071	HG002	Son	V7	2	8
HG002_NA24385_Son_NewIndex_SSXTHSV27077-SSXTHSV25077	HG002	Son	V7	2	8
HG003_NA24149_Father_SSXTHSV27067-SSXTHSV25067	HG003	Father	V7	1	8
HG003_NA24149_Father_SSXTHSV27074-SSXTHSV25074	HG003	Father	V7	2	8
HG003_NA24149_Father_NewIndex_SSXTHSV27068-SSXTHSV25068	HG003	Father	V7	1	8
HG003_NA24149_Father_NewIndex_SSXTHSV27069-SSXTHSV25069	HG003	Father	V7	1	8
HG003_NA24149_Father_NewIndex_SSXTHSV27075-SSXTHSV25075	HG003	Father	V7	2	8
HG003_NA24149_Father_NewIndex_SSXTHSV27076-SSXTHSV25076	HG003	Father	V7	2	8
HG004_NA24143_Mother_SSXTHSV27064-SSXTHSV25064	HG004	Mother	V7	1	8
HG004_NA24143_Mother_SSXTHSV27072-SSXTHSV25072	HG004	Mother	V7	2	8
HG004_NA24143_Mother_NewIndex_SSXTHSV27065-SSXTHSV25065	HG004	Mother	V7	1	8
HG004_NA24143_Mother_NewIndex_SSXTHSV27066-SSXTHSV25066	HG004	Mother	V7	1	8
HG004_NA24143_Mother_NewIndex_SSXTHSV27073-SSXTHSV25073	HG004	Mother	V7	2	8
