N_1	DP_1	N_REF_1	MEAN_REF_BQ_1	MEDIAN_REF_BQ_1	MEAN_NONREF_BQ_1	MEDIAN_NONREF_BQ_1	N_2	DP_2	N_REF_2	MEAN_REF_BQ_2	MEDIAN_REF_BQ_2	MEAN_NONREF_BQ_2	MEDIAN_NONREF_BQ_2
1	489	252	23.608695652173914	33.0	25.91949152542373	32.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	285	151	23.69736842105263	28.0	27.781954887218046	35.0	0	None	None	None	None	None	None
1	11	2	40.0	40.0	32.111111111111114	32.0	1	8	0	None	None	30.5	32.0
1	294	44	21.666666666666668	20.0	27.46987951807229	32.0	0	None	None	None	None	None	None
1	150	56	25.375	37.0	25.80851063829787	38.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	3	0	None	None	28.0	31.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	27	0	None	None	26.333333333333332	31.0	3	28	0	None	None	26.357142857142858	27.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	4	0	38.0	38.0	25.666666666666668	20.0
1	2	1	20.0	20.0	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	335	189	24.33862433862434	20.0	22.767123287671232	20.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	2	0	None	None	35.0	35.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	111	16	28.4375	36.0	26.526315789473685	34.0	0	None	None	None	None	None	None
1	202	86	27.28735632183908	31.0	28.339130434782607	35.0	0	None	None	None	None	None	None
1	166	59	26.06779661016949	37.0	27.0	38.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	3	0	None	None	23.333333333333332	20.0	0	None	None	None	None	None	None
1	207	59	25.423728813559322	20.0	28.56756756756757	26.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	3	0	None	None	24.0	20.0
1	3	0	None	None	22.0	25.0	2	4	1	20.0	20.0	33.5	33.5
1	0	None	None	None	None	None	2	5	3	37.0	37.0	36.0	36.0
1	0	None	None	None	None	None	3	12	2	20.0	20.0	18.9	20.0
1	0	None	None	None	None	None	2	5	3	26.0	20.0	37.5	37.5
1	0	None	None	None	None	None	1	2	0	None	None	20.0	20.0
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	3	5	2	26.0	20.0	33.0	33.0
1	0	None	None	None	None	None	1	6	0	37.0	37.0	22.2	31.0
1	14	10	24.727272727272727	20.0	20.0	20.0	2	13	4	33.0	37.0	21.333333333333332	20.0
1	2	0	None	None	20.0	20.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	2	4	1	37.0	37.0	25.0	20.0
1	0	None	None	None	None	None	1	5	2	38.0	38.0	36.5	36.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	3	11	3	37.333333333333336	37.0	28.375	28.0
1	0	None	None	None	None	None	1	6	1	32.0	32.0	23.0	20.0
1	0	None	None	None	None	None	1	7	4	28.2	31.0	35.0	35.0
1	0	None	None	None	None	None	2	6	3	20.0	20.0	32.5	32.5
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
1	0	None	None	None	None	None	1	35	27	24.74074074074074	20.0	20.0	20.0
1	41	16	22.647058823529413	35.0	31.125	32.0	0	None	None	None	None	None	None
1	0	None	None	None	None	None	0	None	None	None	None	None	None
